ind_id	new_id	tax_id	lat	long	alt	t_cap	com_nm	alpha	genus	spp	sub_spp	spp_lat	alpha6	ind_id2	sex	pos_sex	age_clas	age_yr	mass	fat	inc	latency	cort	count_ss	year	doy	season	brd_stg	pos_lh_stg	lh_stg
1001613	2769	BCAP2769	30.8667	34.7833	456	387	Blackcap	BCAP	Sylvia	atricapilla		Sylvia atricapilla 	SYLATR	2	m				18	3		2	47.71	4	1994	86	breeding			
1001614	2770	BCAP2770	30.8667	34.7833	456	387	Blackcap	BCAP	Sylvia	atricapilla		Sylvia atricapilla 	SYLATR	4	f				18.8	1.5		3	26.03	4	1994	86	breeding			
1001615	2771	BCAP2771	30.8667	34.7833	456	400	Blackcap	BCAP	Sylvia	atricapilla		Sylvia atricapilla 	SYLATR	5	m				18.8	3		2	22.11	4	1994	86	breeding			
1001616	2772	BCAP2772	30.8667	34.7833	456	334	Blackcap	BCAP	Sylvia	atricapilla		Sylvia atricapilla 	SYLATR	1	f				19.7	3		4	56.52	4	1994	86	breeding			
1001642	2773	BCAP2773	30.8667	34.7833	456	377	Blackcap	BCAP	Sylvia	atricapilla		Sylvia atricapilla 	SYLATR	6	f				15.3	2.5		3	31.56	4	1994	88	breeding			
1001643	2774	BCAP2774	30.8667	34.7833	456	395	Blackcap	BCAP	Sylvia	atricapilla		Sylvia atricapilla 	SYLATR	7	f				16.1	2.5		3	16.27	4	1994	88	breeding			
1001662	2775	BCAP2775	30.8667	34.7833	456	332	Blackcap	BCAP	Sylvia	atricapilla		Sylvia atricapilla 	SYLATR	8	m				15.7	1.5		3	27.58	4	1994	89	breeding			
1001663	2776	BCAP2776	30.8667	34.7833	456	376	Blackcap	BCAP	Sylvia	atricapilla		Sylvia atricapilla 	SYLATR	9	f				18.1	1		2	9.77	4	1994	89	breeding			
1001664	2777	BCAP2777	30.8667	34.7833	456	450	Blackcap	BCAP	Sylvia	atricapilla		Sylvia atricapilla 	SYLATR	10	m				21.4	3.5		0.5	33.11	4	1994	89	breeding			
1001679	2778	BCAP2778	30.8667	34.7833	456	344	Blackcap	BCAP	Sylvia	atricapilla		Sylvia atricapilla 	SYLATR	12	m				15.8	2		3	10.97	4	1994	90	breeding			
1001680	2779	BCAP2779	30.8667	34.7833	456	344	Blackcap	BCAP	Sylvia	atricapilla		Sylvia atricapilla 	SYLATR	13	m				17.6	2.5		3	26.71	4	1994	90	breeding			
1001681	2780	BCAP2780	30.8667	34.7833	456	487	Blackcap	BCAP	Sylvia	atricapilla		Sylvia atricapilla 	SYLATR	14	f				17.7	3		3	9.89	4	1994	90	breeding			
